A8G70S  	003	SAT	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	004	SUN	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	005	MON	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	006	TUE	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8G70S  	007	WED	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A8L14S  	000	MON	SEA	SEATTLE             	0000	1600	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A8L14S  	009	WED	ADQ	KODIAK              	0700	1400	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A8L14S  	010	THU	HUB	HUBBARD GLACIER     	1400	1800	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A8L14S  	011	FRI	SIT	SITKA               	0800	1600	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A8L14S  	012	SAT	***	AT SEA              	0000	0000	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A8L14S  	013	SUN	YYJ	VICTORIA, CANADA    	1300	2300	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
